#   dataCCT.txt
#
#   Description:
#   This is an implementation of Robertson's method of computing the correlated color
#   temperature of an XYZ color. It can compute correlated color temperatures in the
#   range [1666.7K, infinity].
#
#   Reference:
#       "Color Science: Concepts and Methods, Quantitative Data and Formulae", Second Edition,
#       Gunther Wyszecki and W. S. Stiles, John Wiley & Sons, 1982, pp. 227-228.
#
#   See also:  http://www.brucelindbloom.com/

mired	u	v	t
0.0	0.18006	0.26352	-0.24341
010	0.18066	0.26589	-0.25479
020	0.18133	0.26846	-0.26876
030	0.18208	0.27119	-0.28539
040	0.18293	0.27407	-0.3047
050	0.18388	0.27709	-0.32675
060	0.18494	0.28021	-0.35156
070	0.18611	0.28342	-0.37915
080	0.1874	0.28668	-0.40955
090	0.1888	0.28997	-0.44278
100	0.19032	0.29326	-0.47888
125	0.19462	0.30141	-0.58204
150	0.19962	0.30921	-0.70471
175	0.20525	0.31647	-0.84901
200	0.21142	0.32312	-1.0182
225	0.21807	0.32909	-1.2168
250	0.22511	0.33439	-1.4512
275	0.23247	0.33904	-1.7298
300	0.2401	0.34308	-2.0637
325	0.24792	0.34655	-2.4681     #   Note: 0.24792 is a corrected value for the error found in W&S as 0.24702   http://www.brucelindbloom.com/index.html?Eqn_XYZ_to_T.html
350	0.25591	0.34951	-2.9641
375	0.264	0.352	-3.5814
400	0.27218	0.35407	-4.3633
425	0.28039	0.35577	-5.3762
450	0.28863	0.35714	-6.7262
475	0.29685	0.35823	-8.5955
500	0.30505	0.35907	-11.324
525	0.3132	0.35968	-15.628
550	0.32129	0.36011	-23.325
575	0.32931	0.36038	-40.77
600	0.33724	0.36051	-116.45
