#
#   Illuminant B at 5nm interval
#
#   the data is from
#   Wyszecki & Stiles
#   Color Science, 2nd edition.
#   Table II(3.3.4)  pp. 759.

wavelength power
320 0.02
325 0.26
330 0.50
335 1.45
340 2.40
345 4.00
350 5.60
355 7.60
360 9.6
365 12.4
370 15.2
375 18.8
380 22.4
385 26.85
390 31.3
395 36.18
400 41.3
405 46.62
410 52.1
415 57.7
420 63.2
425 68.37
430 73.1
435 77.31
440 80.8
445 83.44
450 85.4
455 86.88
460 88.3
465 90.08
470 92
475 93.75
480 95.2
485 96.23
490 96.5
495 95.71
500 94.2
505 92.37
510 90.7
515 89.65
520 89.5
525 90.43
530 92.2
535 94.46
540 96.9
545 99.16
550 101
555 102.2
560 102.8
565 102.92
570 102.6
575 101.9
580 101
585 100.07
590 99.2
595 98.44
600 98
605 98.08
610 98.5
615 99.06
620 99.7
625 100.36
630 101
635 101.56
640 102.2
645 103.05
650 103.9
655 104.59
660 105
665 105.08
670 104.9
675 104.55
680 103.9
685 102.84
690 101.6
695 100.38
700 99.1
705 97.7
710 96.2
715 94.6
720 92.9
725 91.1
730 89.4
735 88
740 86.9
745 85.9
750 85.2
755 84.8
760 84.7
765 84.9
770 85.4
775 86.1
780 87.0
