       
#   The spectral reflectance data of 14 color test samples for CRI

wavelength TCS1 TCS2 TCS3 TCS4 TCS5 TCS6 TCS7 TCS8 TCS9 TCS10 TCS11 TCS12 TCS13 TCS14
360 116  53  58  57 143  79 150  75  69  42  74 189  71  36
365 136  55  59  59 187  81 177  78  72  43  79 175  76  36
370 159  59  61  62 233  89 218  84  73  45  86 158  82  36
375 190  64  63  67 269 113 293  90  70  47  98 139  90  36
380 219  70  65  74 295 151 378 104  66  50 111 120 104  36
385 239  79  68  83 306 203 459 129  62  54 121 103 127  36
390 252  89  70  93 310 265 524 170  58  59 127  90 161  37
395 256 101  72 105 312 339 546 240  55  63 129  82 211  38
400 256 111  73 116 313 410 551 319  52  66 127  76 264  39
405 254 116  73 121 315 464 555 416  52  67 121  68 313  39
410 252 118  74 124 319 492 559 462  51  68 116  64 341  40
415 248 120  74 126 322 508 560 482  50  69 112  65 352  41
420 244 121  74 128 326 517 561 490  50  69 108  75 359  42
425 240 122  73 131 330 524 558 488  49  70 105  93 361  42
430 237 122  73 135 334 531 556 482  48  72 104 123 364  43
435 232 122  73 139 339 538 551 473  47  73 104 160 365  44
440 230 123  73 144 346 544 544 462  46  76 105 207 367  44
445 226 124  73 151 352 551 535 450  44  78 106 256 369  45
450 225 127  74 161 360 556 522 439  42  83 110 300 372  45
455 222 128  75 172 369 556 506 426  41  88 115 331 374  46
460 220 131  77 186 381 554 488 413  38  95 123 346 376  47
465 218 134  80 205 394 549 469 397  35 103 134 347 379  48
470 216 138  85 229 403 541 448 382  33 113 148 341 384  50
475 214 143  94 254 410 531 429 366  31 125 167 328 389  52
480 214 150 109 281 415 519 408 352  30 142 192 307 397  55
485 214 159 126 308 418 504 385 337  29 162 219 282 405  57
490 216 174 148 332 419 488 363 325  28 189 252 257 416  62
495 218 190 172 352 417 469 341 310  28 219 291 230 429  67
500 223 207 198 370 413 450 324 299  28 262 325 204 443  75
505 225 225 221 383 409 431 311 289  29 305 347 178 454  83
510 226 242 241 390 403 414 301 283  30 365 356 154 461  92
515 226 253 260 394 396 395 291 276  30 416 353 129 466 100
520 225 260 278 395 389 377 283 270  31 465 346 109 469 108
525 225 264 302 392 381 358 273 262  31 509 333  90 471 121
530 227 267 339 385 372 341 265 256  32 546 314  75 474 133
535 230 269 370 377 363 325 260 251  32 581 294  62 476 142
540 236 272 392 367 353 309 257 250  33 610 271  51 483 150
545 245 276 399 354 342 293 257 251  34 634 248  41 490 154
550 253 282 400 341 331 279 259 254  35 653 227  35 506 155
555 262 289 393 327 320 265 260 258  37 666 206  29 526 152
560 272 299 380 312 308 253 260 264  41 678 188  25 553 147
565 283 309 365 296 296 241 258 269  44 687 170  22 582 140
570 298 322 349 280 284 234 256 272  48 693 153  19 618 133
575 318 329 332 263 271 227 254 274  52 698 138  17 651 125
580 341 335 315 247 260 225 254 278  60 701 125  17 680 118
585 367 339 299 229 247 222 259 284  76 704 114  17 701 112
590 390 341 285 214 232 221 270 295 102 705 106  16 717 106
595 409 341 272 198 220 220 284 316 136 705 100  16 729 101
600 424 342 264 185 210 220 302 348 190 706  96  16 736  98
605 435 342 257 175 200 220 324 384 256 707  92  16 742  95
610 442 342 252 169 194 220 344 434 336 707  90  16 745  93
615 448 341 247 164 189 220 362 482 418 707  87  16 747  90
620 450 341 241 160 185 223 377 528 505 708  85  16 748  89
625 451 339 235 156 183 227 389 568 581 708  82  16 748  87
630 451 339 229 154 180 233 400 604 641 710  80  18 748  86
635 451 338 224 152 177 239 410 629 682 711  79  18 748  85
640 451 338 220 151 176 244 420 648 717 712  78  18 748  84
645 451 337 217 149 175 251 429 663 740 714  78  18 748  84
650 450 336 216 148 175 258 438 676 758 716  78  19 748  84
655 450 335 216 148 175 263 445 685 770 718  78  20 748  84
660 451 334 219 148 175 268 452 693 781 720  81  23 747  85
665 451 332 224 149 177 273 457 700 790 722  83  24 747  87
670 453 332 230 151 180 278 462 705 797 725  88  26 747  92
675 454 331 238 154 183 281 466 709 803 729  93  30 747  96
680 455 331 251 158 186 283 468 712 809 731 102  35 747 102
685 457 330 269 162 189 286 470 715 814 735 112  43 747 110
690 458 329 288 165 192 291 473 717 819 739 125  56 747 123
695 460 328 312 168 195 296 477 719 824 742 141  74 746 137
700 462 328 340 170 199 302 483 721 828 746 161  97 746 152
705 463 327 366 171 200 313 489 720 830 748 182 128 746 169
710 464 326 390 170 199 325 496 719 831 749 203 166 745 188
715 465 325 412 168 198 338 503 722 833 751 223 210 744 207
720 466 324 431 166 196 351 511 725 835 753 242 257 743 226
725 466 324 447 164 195 364 518 727 836 754 257 305 744 243
730 466 324 460 164 195 376 525 729 836 755 270 354 745 260
735 466 323 472 165 196 389 532 730 837 755 282 401 748 277
740 467 322 481 168 197 401 539 730 838 755 292 446 750 294
745 467 321 488 172 200 413 546 730 839 755 302 485 750 310
750 467 320 493 177 203 425 553 730 839 756 310 520 749 325
755 467 318 497 181 205 436 559 730 839 757 314 551 748 339
760 467 316 500 185 208 447 565 730 839 758 317 577 748 353
765 467 315 502 189 212 458 570 730 839 759 323 599 747 366
770 467 315 505 192 215 469 575 730 839 759 330 618 747 379
775 467 314 510 194 217 477 578 730 839 759 334 633 747 390
780 467 314 516 197 219 485 581 730 839 759 338 645 747 399
785 467 313 520 200 222 493 583 730 839 759 343 656 746 408
790 467 313 524 204 226 500 585 731 839 759 348 666 746 416
795 466 312 527 210 231 506 587 731 839 759 353 674 746 422
800 466 312 531 218 237 512 588 731 839 759 359 680 746 428
805 466 311 535 225 243 517 589 731 839 759 365 686 745 434
810 466 311 539 233 249 521 590 731 838 758 372 691 745 439
815 466 311 544 243 257 525 590 731 837 757 380 694 745 444
820 465 311 548 254 265 529 590 731 837 757 388 697 745 448
825 464 311 552 264 273 532 591 731 836 756 396 700 745 451
830 464 310 555 274 280 535 592 731 836 756 403 702 745 454

